7116776 -> 0b11011001001011111101000 , 0x6c97e8
4311824 -> 0b10000011100101100010000 , 0x41cb10
3009421 -> 0b1011011110101110001101 , 0x2deb8d
1629105 -> 0b110001101101110110001 , 0x18dbb1
8431899 -> 0b100000001010100100011011 , 0x80a91b
7582456 -> 0b11100111011001011111000 , 0x73b2f8
7332147 -> 0b11011111110000100110011 , 0x6fe133
314183 -> 0b1001100101101000111 , 0x4cb47
7632568 -> 0b11101000111011010111000 , 0x7476b8
8161327 -> 0b11111001000100000101111 , 0x7c882f
6961087 -> 0b11010100011011110111111 , 0x6a37bf
6898282 -> 0b11010010100001001101010 , 0x69426a
9749303 -> 0b100101001100001100110111 , 0x94c337
4427419 -> 0b10000111000111010011011 , 0x438e9b
4368829 -> 0b10000101010100110111101 , 0x42a9bd
6439318 -> 0b11000100100000110010110 , 0x624196
6473603 -> 0b11000101100011110000011 , 0x62c783
6446249 -> 0b11000100101110010101001 , 0x625ca9
9818836 -> 0b100101011101001011010100 , 0x95d2d4
9438069 -> 0b100100000000001101110101 , 0x900375
2809499 -> 0b1010101101111010011011 , 0x2ade9b
3460304 -> 0b1101001100110011010000 , 0x34ccd0
8430904 -> 0b100000001010010100111000 , 0x80a538
9774785 -> 0b100101010010011011000001 , 0x9526c1
9560603 -> 0b100100011110001000011011 , 0x91e21b
3440732 -> 0b1101001000000001011100 , 0x34805c
7053263 -> 0b11010111001111111001111 , 0x6b9fcf
287398 -> 0b1000110001010100110 , 0x462a6
4043644 -> 0b1111011011001101111100 , 0x3db37c
2943820 -> 0b1011001110101101001100 , 0x2ceb4c
9030962 -> 0b100010011100110100110010 , 0x89cd32
7537540 -> 0b11100110000001110000100 , 0x730384
7203657 -> 0b11011011110101101001001 , 0x6deb49
5639400 -> 0b10101100000110011101000 , 0x560ce8
9448142 -> 0b100100000010101011001110 , 0x902ace
9954392 -> 0b100101111110010001011000 , 0x97e458
2856859 -> 0b1010111001011110011011 , 0x2b979b
1332118 -> 0b101000101001110010110 , 0x145396
6984725 -> 0b11010101001010000010101 , 0x6a9415
1925762 -> 0b111010110001010000010 , 0x1d6282
2138171 -> 0b1000001010000000111011 , 0x20a03b
347447 -> 0b1010100110100110111 , 0x54d37
8839390 -> 0b100001101110000011011110 , 0x86e0de
3951652 -> 0b1111000100110000100100 , 0x3c4c24
3755102 -> 0b1110010100110001011110 , 0x394c5e
6867687 -> 0b11010001100101011100111 , 0x68cae7
4383175 -> 0b10000101110000111000111 , 0x42e1c7
7125508 -> 0b11011001011101000000100 , 0x6cba04
7799732 -> 0b11101110000001110110100 , 0x7703b4
8784156 -> 0b100001100000100100011100 , 0x86091c
1372809 -> 0b101001111001010001001 , 0x14f289
1327984 -> 0b101000100001101110000 , 0x144370
9205087 -> 0b100011000111010101011111 , 0x8c755f
6524241 -> 0b11000111000110101010001 , 0x638d51
9316072 -> 0b100011100010011011101000 , 0x8e26e8
127744 -> 0b11111001100000000 , 0x1f300
8388820 -> 0b100000000000000011010100 , 0x8000d4
6883557 -> 0b11010010000100011100101 , 0x6908e5
2291239 -> 0b1000101111011000100111 , 0x22f627
3101270 -> 0b1011110101001001010110 , 0x2f5256
1382825 -> 0b101010001100110101001 , 0x1519a9
9873376 -> 0b100101101010011111100000 , 0x96a7e0
6873500 -> 0b11010001110000110011100 , 0x68e19c
8185634 -> 0b11111001110011100100010 , 0x7ce722
2464786 -> 0b1001011001110000010010 , 0x259c12
8387154 -> 0b11111111111101001010010 , 0x7ffa52
5581444 -> 0b10101010010101010000100 , 0x552a84
8097911 -> 0b11110111001000001110111 , 0x7b9077
8882527 -> 0b100001111000100101011111 , 0x87895f
8941444 -> 0b100010000110111110000100 , 0x886f84
4942703 -> 0b10010110110101101101111 , 0x4b6b6f
101144 -> 0b11000101100011000 , 0x18b18
7471180 -> 0b11100100000000001001100 , 0x72004c
1932131 -> 0b111010111101101100011 , 0x1d7b63
8052752 -> 0b11110101110000000010000 , 0x7ae010
6359493 -> 0b11000010000100111000101 , 0x6109c5
1967646 -> 0b111100000011000011110 , 0x1e061e
6575052 -> 0b11001000101001111001100 , 0x6453cc
2323342 -> 0b1000110111001110001110 , 0x23738e
6735760 -> 0b11001101100011110010000 , 0x66c790
8895858 -> 0b100001111011110101110010 , 0x87bd72
4238091 -> 0b10000001010101100001011 , 0x40ab0b
7093069 -> 0b11011000011101101001101 , 0x6c3b4d
39 -> 0b100111 , 0x27
